hostname,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,time
scn-GE72-2QD,1.98,2.32,2.21,2.28,2.06,1.77,1.76,1.82,04/27/2017 19:38:40
scn-GE72-2QD,1.98,2.32,2.21,2.28,2.06,1.77,1.76,1.83,04/27/2017 19:38:45
scn-GE72-2QD,1.98,2.31,2.21,2.28,2.06,1.77,1.76,1.83,04/27/2017 19:38:50
scn-GE72-2QD,1.98,2.31,2.2,2.28,2.06,1.77,1.76,1.82,04/27/2017 19:38:55
scn-GE72-2QD,1.98,2.31,2.21,2.28,2.06,1.77,1.76,1.82,04/27/2017 19:39:00
scn-GE72-2QD,1.98,2.31,2.2,2.28,2.06,1.77,1.76,1.82,04/27/2017 19:39:05
scn-GE72-2QD,1.98,2.31,2.2,2.28,2.06,1.76,1.75,1.82,04/27/2017 19:39:10
scn-GE72-2QD,1.98,2.31,2.2,2.28,2.05,1.76,1.75,1.82,04/27/2017 19:39:15
scn-GE72-2QD,1.97,2.31,2.2,2.28,2.05,1.76,1.75,1.82,04/27/2017 19:39:20
scn-GE72-2QD,1.97,2.31,2.2,2.28,2.05,1.76,1.75,1.82,04/27/2017 19:39:25
scn-GE72-2QD,1.97,2.31,2.2,2.28,2.05,1.76,1.75,1.82,04/27/2017 19:39:30
scn-GE72-2QD,1.97,2.31,2.2,2.28,2.05,1.76,1.75,1.82,04/27/2017 19:39:35
scn-GE72-2QD,1.97,2.31,2.2,2.28,2.05,1.76,1.75,1.81,04/27/2017 19:39:40
scn-GE72-2QD,3.73,11.34,11.17,11.27,8.54,8.17,7.81,8.22,04/28/2017 00:24:18
scn-GE72-2QD,3.56,8.99,8.89,8.96,6.72,6.43,6.18,6.44,04/28/2017 00:53:05
